Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
1884	Dec	13-Dec-1884	AUSTRALIA	South Australia	Port Phillip	Sea Disaster	14' shark	2.0	[nan]	['Cause of death most likely drowning, remains recovered in shark']	['yachting accident']	['Y']	['M']	Winter
1885	Mar	28-Mar-1885	SOUTH AFRICA	KwaZulu-Natal	Kokstad District	Unprovoked	3 m [10'] shark	1.0	[nan]	"[""No injury to occupant, rammed oar in shark's mouth and it bit the oar ""]"	['Fishing']	['N']	['M']	Spring
1885	Nov	Reported 26-Nov-1885	AUSTRALIA	Queensland	Brisbane 	Boating	15' shark	1.0	[nan]	"[""No injury to occupant, shark bit off section of the boat's rudder""]"	[nan]	['N']	[nan]	Autumn
1886	Aug	Aug-1886	USA	New Jersey	Shrewsbury River, Highlands, Monmouth County	Boating	3 m [10'] sharks	1.0	[nan]	['No injury. They were chased by three sharks, one of which rammed their boat']	['Clamming']	['N']	['M']	Summer
1886	Aug	Mid-Aug-1886	USA	 New Jersey	Shrewsbury River, Highlands, Monmouth County	Boating	Shark was said to �have a very rough ��-thick skin�	1.0	[nan]	['Shark attacked boat, shark killed & towed to shore']	[nan]	['N']	['M']	Summer
1887	Dec	04-Dec-1887	AUSTRALIA	New South Wales	Ryde, Sydney (Estuary)	Unprovoked	12' to 14' shark	1.0	[nan]	['FATAL']	[nan]	['Y']	['M']	Winter
1887	Feb	08-Feb-1887	SOUTH AFRICA	Western Cape Province	Blaauwberg	Provoked	4.7 m [15.5'] shark	1.0	[nan]	['Harpooned shark, bit boat, causing it to ship water. Boat reached shore in sinking condition PROVOKED INCIDENT']	[nan]	['N']	[nan]	Winter
1887	Mar	12-Mar-1887	AUSTRALIA	South Australia	Black Point	Boating	13' shark	1.0	[nan]	['No injury to occupants']	['Rowing a dinghy']	['N']	[nan]	Spring
1888	Feb	17-Feb-1888	NEW ZEALAND	South Island	Oamaru	Unprovoked	Unknown, but the shark was caught and put on exhibition	1.0	[nan]	['Arm severely lacerated, surgically amputated']	['Floating on his back']	['N']	['M']	Winter
1888	Oct	Reported 23-Oct-1888	CROATIA	 Primorje-Gorski Kotar County	Rijeka	Unprovoked	5 mm 3500 kg female shark	1.0	[nan]	['Human remains found in shark']	[nan]	['Y']	[nan]	Autumn
1889	Jul	  19-Jul-1889	USA	Texas	West Bay near Galveston 	Unprovoked	18' shark	1.0	[nan]	['Leg bitten']	['Fishing']	['N']	['M']	Summer
